Subject,CrsNum,CreditHrs,1074,1077,1081,1084,1087,1091,1094,1097,1101,1104,1107,1111,1114,1117,1121,1124,1127,1131,1134,1137,1141,1144,1147,1151,1154,1157,1161,1164,1167,1171
,498,3,16,15,30,20,23,30,17,25,25,11,14,21,18,11,9,13,10,19,21,22,14,12,15,16,9,14,20,15,20,16
,499,3,5,3,2,4,2,4,5,2,3,3,5,2,2,1,1,1,2,1,4,8,9,2,6,6,2,3,1,,4,3
BPK,105,3,,,,,,,,,,,,,,,,,,,,114,114,107,111,116,115,109,107,96,100,107
,110,3,,,,,,,,,,,,,,,,,,,,512,512,313,566,508,306,516,521,315,538,507
,111,3,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,
,140,3,,,,,,,,,,,,,,,,,,,,408,361,326,434,360,327,430,369,328,437,362
,142,3,,,,,,,,,,,,,,,,,,,,389,287,132,397,295,138,387,285,140,358,289
,143,3,,,,,,,,,,,,,,,,,,,,239,241,116,240,235,113,241,233,110,233,233
,180W,3,,,,,,,,,,,,,,,,,,,,20,,,35,,,35,,,38,
,201,3,,,,,,,,,,,,,,,,,,,,114,98,,110,114,,120,117,,93,101
,205,3,,,,,,,,,,,,,,,,,,,,120,94,,119,115,,120,120,,120,104
,207,3,,,,,,,,,,,,,,,,,,,,95,100,,101,130,,100,100,,118,115
,208,3,,,,,,,,,,,,,,,,,,,,,,9,,6,,,13,,,11
,212,3,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,
,241,3,,,,,,,,,,,,,,,,,,,,69,63,48,69,64,45,64,65,46,63,63
,301,3,,,,,,,,,,,,,,,,,,,,,15,,15,,,15,,,,
,303,3,,,,,,,,,,,,,,,,,,,,64,54,55,60,63,53,54,63,,53,48
,304W,3,,,,,,,,,,,,,,,,,,,,56,,55,57,62,58,66,80,,77,71
,305,3,,,,,,,,,,,,,,,,,,,,97,88,,98,89,,124,,123,112,91
,306,3,,,,,,,,,,,,,,,,,,,,98,112,,98,83,,116,128,,94,90
,308,3,,,,,,,,,,,,,,,,,,,,28,,,22,,,23,,,,18
,310,3,,,,,,,,,,,,,,,,,,,,60,,58,46,38,49,58,66,51,78,62
,311,3,,,,,,,,,,,,,,,,,,,,64,,52,56,,43,55,61,38,49,28
,312,3,,,,,,,,,,,,,,,,,,,,62,,77,56,60,58,,59,64,,55
,325,3,,,,,,,,,,,,,,,,,,,,48,59,,58,58,44,60,57,46,60,41
,326,4,,,,,,,,,,,,,,,,,,,,75,48,48,49,51,50,75,60,57,70,49
,336,3,,,,,,,,,,,,,,,,,,,,,27,,,21,,,,,,
,340,3,,,,,,,,,,,,,,,,,,,,60,58,55,60,60,58,60,60,54,58,57
,342,3,,,,,,,,,,,,,,,,,,,,25,29,,27,32,,40,40,,21,37
,343,3,,,,,,,,,,,,,,,,,,,,29,36,,30,36,36,25,36,34,20,40
,344,3,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
,351,3,,,,,,,,,,,,,,,,,,,,16,9,32,21,18,22,15,14,22,17,15
,352,3,,,,,,,,,,,,,,,,,,,,9,15,10,12,18,19,12,14,21,12,14
,375,3,,,,,,,,,,,,,,,,,,,,,64,58,69,,,95,,69,90,
,381,3,,,,,,,,,,,,,,,,,,,,,68,,,,49,,,,59,
,382,3,,,,,,,,,,,,,,,,,,,,25,,,24,,,24,,,23,
,401,3,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,9
,402,3,,,,,,,,,,,,,,,,,,,,,32,,,38,,15,,,,
,407,3,,,,,,,,,,,,,,,,,,,,53,73,,64,76,24,59,67,33,51,74
,412,3,,,,,,,,,,,,,,,,,,,,34,,,35,,,27,,,35,
,415,3,,,,,,,,,,,,,,,,,,,,,39,,,39,,,,,,35
,417,3,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
,420,3,,,,,,,,,,,,,,,,,,,,16,30,12,,,17,,43,,12,18
,421,3,,,,,,,,,,,,,,,,,,,,27,16,6,31,16,,,22,,,28
,422,3,,,,,,,,,,,,,,,,,,,,,,11,,,,15,,,29,
,423,3,,,,,,,,,,,,,,,,,,,,,,,,14,,6,,,,
,426,3,,,,,,,,,,,,,,,,,,,,38,,,30,,,37,,,51,
,431,3,,,,,,,,,,,,,,,,,,,,,,52,,,43,,,43,,
,432,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,
,443,3,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,9
,444,3,,,,,,,,,,,,,,,,,,,,,34,,,43,,,,,,47
,446,3,,,,,,,,,,,,,,,,,,,,,26,,,39,,,28,,,42
,448,3,,,,,,,,,,,,,,,,,,,,,36,,,,,19,58,,43,54
,451,3,,,,,,,,,,,,,,,,,,,,3,8,12,6,12,5,,1,,,1
,451W,3,,,,,,,,,,,,,,,,,,,,,,,,,6,11,11,9,12,10
,452,3,,,,,,,,,,,,,,,,,,,,4,2,5,5,5,5,5,11,3,4,4
,453,3,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,2,4,1,2
,457,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,458,3,,,,,,,,,,,,,,,,,,,,,,,,,,46,,26,31,39
,459,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,461,3,,,,,,,,,,,,,,,,,,,,50,56,47,44,58,,55,,,,
,481,3,,,,,,,,,,,,,,,,,,,,37,,14,36,,19,,31,30,,34
,482,3,,,,,,,,,,,,,,,,,,,,,10,,,13,,,,,,14
,484,3,,,,,,,,,,,,,,,,,,,,,7,,,,,,13,,,
,491,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
,495,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,496,3,,,,,,,,,,,,,,,,,,,,5,18,3,6,17,3,5,8,2,7,3
,497,3,,,,,,,,,,,,,,,,,,,,3,2,5,11,1,1,4,3,1,,
,498,3,,,,,,,,,,,,,,,,,,,,4,7,1,4,4,1,11,4,3,6,10
,499,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,12,,,,,,,,,,,,,,,,,,,,,3,2,5,10,1,1,4,3,,
CHEM,110,3,22,47,59,36,66,68,53,104,146,100,189,172,144,171,188,167,202,166,,127,107,,188,148,,160,82,69,62,57
,111,4,16,60,43,17,62,66,28,77,65,41,77,55,28,75,67,28,80,63,,87,54,,83,74,,85,53,,77,41
,120,3,,17,,21,61,,18,47,,47,64,,37,46,,23,47,,26,53,,24,42,,27,55,,15,47,
,121,4,106,746,310,126,763,323,146,803,372,151,904,343,205,743,283,193,746,287,160,799,391,260,683,325,238,727,404,214,712,326
,122,2,109,201,465,114,232,524,131,227,463,161,269,575,179,247,438,166,251,455,161,213,476,168,272,459,108,257,442,148,258,459
,126,2,85,136,256,102,159,314,119,146,275,140,156,365,132,190,291,126,130,295,123,116,338,119,146,298,59,146,293,83,134,266
,180,3,,19,,,,,18,9,,,31,,,20,,,14,,,29,,,18,,,13,,,22,
,191,3,,,,,,,,,31,,,37,,,,,,18,,,8,,,,,,,,,
,192,3,9,30,,,86,,,117,,80,66,,,,,,51,,,29,,48,19,,,28,,,14,19
,215,4,36,89,67,55,70,69,58,77,64,47,68,76,50,79,68,44,90,69,50,78,64,48,81,77,53,73,64,36,60,54
